,datetime,w,w_forecasted,d,d_forecasted
0,2021-04-01 00:00:00,16.098043,18.237383,72009.301,72355.0
1,2021-04-01 01:00:00,16.54051,17.96083,70224.266,70828.0
2,2021-04-01 02:00:00,15.98449,16.948939,69617.573,70281.0
3,2021-04-01 03:00:00,16.279652,17.786364,70107.007,70678.0
4,2021-04-01 04:00:00,18.523004,18.837155,71777.555,72595.0
5,2021-04-01 05:00:00,20.970568,20.608706,76333.333,77297.0
6,2021-04-01 06:00:00,20.945015,30.568393,83288.451,85202.0
7,2021-04-01 07:00:00,26.688807,35.980349,88784.017,90891.0
8,2021-04-01 08:00:00,23.656911,33.396799,91081.234,92365.0
9,2021-04-01 09:00:00,21.225925,30.513149,91553.874,92090.0
10,2021-04-01 10:00:00,22.901732,30.004678,91453.806,91454.0
11,2021-04-01 11:00:00,22.477598,28.491592,90822.42,90483.0
12,2021-04-01 12:00:00,21.717305,26.416992,89622.844,89349.0
13,2021-04-01 13:00:00,22.415507,24.714927,88477.739,88051.0
14,2021-04-01 14:00:00,21.854732,23.376925,87346.257,86666.0
15,2021-04-01 15:00:00,22.50423,22.997588,86770.833,85710.0
16,2021-04-01 16:00:00,25.150596,23.124119,87215.86,85718.0
17,2021-04-01 17:00:00,22.703768,24.307441,88475.534,87448.0
18,2021-04-01 18:00:00,21.497215,25.645102,89822.53,90122.0
19,2021-04-01 19:00:00,35.335376,32.066456,92262.902,92535.0
20,2021-04-01 20:00:00,60.951715,40.024908,94499.077,94361.0
21,2021-04-01 21:00:00,29.991238,31.211977,92757.575,92208.0
22,2021-04-01 22:00:00,23.755448,25.763688,89054.643,88300.0
23,2021-04-01 23:00:00,23.227653,23.405883,85151.917,84594.0
24,2021-04-02 00:00:00,18.965493,23.154634,82327.969,82429.0
25,2021-04-02 01:00:00,20.99213,22.585769,81064.891,81481.0
26,2021-04-02 02:00:00,20.301952,22.605871,80671.981,81497.0
27,2021-04-02 03:00:00,26.933011,23.010483,81228.815,82303.0
28,2021-04-02 04:00:00,20.583751,23.857813,83015.321,84751.0
29,2021-04-02 05:00:00,22.761424,28.511801,86940.479,89741.0
30,2021-04-02 06:00:00,24.164371,39.329039,92604.755,97286.0
31,2021-04-02 07:00:00,26.520757,58.048813,96068.009,101800.0
32,2021-04-02 08:00:00,22.604207,43.288811,95582.332,101635.0
33,2021-04-02 09:00:00,24.075066,34.826912,93729.55,99491.0
34,2021-04-02 10:00:00,22.082283,29.743946,92198.062,97180.0
35,2021-04-02 11:00:00,19.445173,27.110239,90244.038,94760.0
36,2021-04-02 12:00:00,19.551297,25.006243,87929.603,92451.0
37,2021-04-02 13:00:00,18.679841,23.195385,85700.276,90316.0
38,2021-04-02 14:00:00,17.740617,21.76354,83431.806,88244.0
39,2021-04-02 15:00:00,16.155353,21.421963,81322.918,86745.0
40,2021-04-02 16:00:00,16.050939,21.510447,80575.925,86627.0
41,2021-04-02 17:00:00,16.306639,21.828577,81065.866,87710.0
42,2021-04-02 18:00:00,16.653453,23.800658,82469.472,89520.0
43,2021-04-02 19:00:00,18.934523,28.470732,85380.992,91581.0
44,2021-04-02 20:00:00,25.352771,29.652589,88516.292,92684.0
45,2021-04-02 21:00:00,19.164164,24.999239,87787.627,91145.0
46,2021-04-02 22:00:00,25.666278,23.595553,85517.041,88083.0
47,2021-04-02 23:00:00,19.135596,20.775224,82577.095,84573.0
48,2021-04-03 00:00:00,20.812823,22.747036,80309.737,81996.0
49,2021-04-03 01:00:00,24.766745,22.688559,79014.277,81109.0
50,2021-04-03 02:00:00,20.178221,21.331603,78725.372,80868.0
51,2021-04-03 03:00:00,26.773651,22.454772,79059.392,81244.0
52,2021-04-03 04:00:00,24.633027,22.436523,80237.499,82450.0
53,2021-04-03 05:00:00,20.689425,23.699019,82318.671,84704.0
54,2021-04-03 06:00:00,24.155717,25.343376,85508.133,87893.0
55,2021-04-03 07:00:00,21.23221,31.44115,87845.151,90698.0
56,2021-04-03 08:00:00,18.888996,27.13058,87115.395,91059.0
57,2021-04-03 09:00:00,19.355812,25.376089,84614.479,88789.0
58,2021-04-03 10:00:00,20.036127,22.734333,81528.284,85832.0
59,2021-04-03 11:00:00,18.224003,21.541549,78866.519,82715.0
60,2021-04-03 12:00:00,17.916206,20.63588,76084.566,79848.0
61,2021-04-03 13:00:00,16.421702,19.309721,73468.579,77115.0
62,2021-04-03 14:00:00,15.756941,18.027937,71311.778,74937.0
63,2021-04-03 15:00:00,15.368855,17.481178,69956.786,73744.0
64,2021-04-03 16:00:00,15.427183,18.439118,69900.428,73747.0
65,2021-04-03 17:00:00,15.994326,19.214908,71264.473,74876.0
66,2021-04-03 18:00:00,18.588905,20.059,73005.214,76867.0
67,2021-04-03 19:00:00,34.574496,24.742713,75551.982,79649.0
68,2021-04-03 20:00:00,21.636147,27.563332,78433.537,81979.0
69,2021-04-03 21:00:00,22.33354,23.778435,78083.022,81451.0
70,2021-04-03 22:00:00,20.041237,21.653177,75811.207,79132.0
71,2021-04-03 23:00:00,18.898092,20.757319,72806.21,76318.0
72,2021-04-04 00:00:00,16.165191,20.270829,70239.028,71566.0
73,2021-04-04 01:00:00,17.095888,19.964459,68383.294,70471.0
74,2021-04-04 02:00:00,16.860023,18.683775,67718.685,69887.0
75,2021-04-04 03:00:00,16.685605,18.353429,67317.708,69844.0
76,2021-04-04 04:00:00,18.500866,19.004219,67822.124,70422.0
77,2021-04-04 05:00:00,19.781306,20.292213,69191.557,71652.0
78,2021-04-04 06:00:00,21.286653,21.346318,71489.185,73561.0
79,2021-04-04 07:00:00,23.386098,23.000156,73431.234,75645.0
80,2021-04-04 08:00:00,21.123787,22.851889,74765.073,76963.0
81,2021-04-04 09:00:00,19.940085,22.581892,73962.25,76621.0
82,2021-04-04 10:00:00,18.766668,21.547634,71832.696,75210.0
83,2021-04-04 11:00:00,18.655814,19.860323,69888.811,73745.0
84,2021-04-04 12:00:00,17.998815,18.623146,68488.786,72408.0
